Denumire Operator,Cod Fiscal,Localitate,Nr.Vehicule,Export data,Clase Transportator
LIVMAL ANDRIES SRL,R23650240,Mileanca,5,2026.07,Operatori mici
VAM SOFI TRANS SRL,R27445884,Ia?i,12,2026.07,Operatori medii 1
VESTIBUS SRL,R8877622,"Sat Mihail Kogalniceanu, com Smardan",4,2026.07,Operatori mici
STECOTRANS S.R.L,R6239504,Mizil,4,2026.07,Operatori mici
MET NAK TRANSPORT SRL,R46381078,Albesti Paleologu,5,2026.07,Operatori mici
ALDANI TRANSPORT SRL,R31443130,Aiud,5,2026.07,Operatori mici
CATION OLIMP SPEED SRL,R45829271,Costesti,5,2026.07,Operatori mici
SIBEL YENER SRL,R9597574,Pitesti,6,2026.07,Operatori mici
JUDE CONSTRUCT SRL,R19055066,Remetea Mare,6,2026.07,Operatori mici
GHITA SI MARI SRL,R31242934,Vadu Izei,6,2026.07,Operatori mici
CRIDYSOR TRANS SRL,R16564561,Baia de Fier,8,2026.07,Operatori mici
IL GONI TRANS .RO,R29248331,DROBETA TURNU-SEVERIN,7,2026.07,Operatori mici
MAXIS TRANS SRL,R21102674,Targu Jiu,8,2026.07,Operatori mici
ERTA LOGISTICS SRL,R30575051,Ploiesti,10,2026.07,Operatori medii 1
BYLYVYA SRL,R23502146,Gaesti,6,2026.07,Operatori mici
BIB EXPLO TUR SRL,R31504393,Repedea,6,2026.07,Operatori mici
RADU RMR TRANS SRL,R15917037,Remeti,6,2026.07,Operatori mici
TIBICAR PREST SRL,R6457410,Vutcani,10,2026.07,Operatori medii 1
FACTOR SERVICE SRL,R24780329,Borzont,7,2026.07,Operatori mici
IMFEREX SRL,R523832,Odorheiu Secuiesc,9,2026.07,Operatori mici
ALDOMON TRANSLOGISTIC SRL,R32735990,bata,10,2026.07,Operatori medii 1
BIRMOND TRANS SRL,R11361477,Dragomiresti,11,2026.07,Operatori medii 1
MARIO ALEX,R15646388,Calinesti Oas,10,2026.07,Operatori medii 1
HELIOPOLIS PRESTSERV SRL,R11363893,Targu Ocna,11,2026.07,Operatori medii 1
TRANS ALECU EXPEDITII SRL,R17136431,Bucuresti,4,2026.07,Operatori mici
SAD TRANS EXPRES SRL,R31364362,Bucuresti,4,2026.07,Operatori mici
GAZIKENT TRANS SRL,R31266208,Bucuresti,4,2026.07,Operatori mici
ROVA TRANS CONTINENTAL SRL,R48890965,Ploiesti,4,2026.07,Operatori mici
FLORA SERCOM S.A.,R6667616,Drobeta Turnu Severin,4,2026.07,Operatori mici
CONDOR RATRANS EXPEDITION SRL,R34122207,COMUNA VALEA RAMNICULUI,4,2026.07,Operatori mici
BL TRANS S.R.L,R47815388,"bucuresti,sector 4",4,2026.07,Operatori mici
SIMONA&DIANA TRANSPORT SRL,R30628709,"bucuresti,sector 4",4,2026.07,Operatori mici
DGA CREATIVE INOVATION LOGISTIC S.R.L,R43491181,BUCURE?TI SECTORUL 1,4,2026.07,Operatori mici
PAG TRANS SRL,R47980393,Sabareni,5,2026.07,Operatori mici
MEDUSAS PHOENIX SRL,R48023378,Bragadiru,5,2026.07,Operatori mici
ARTEGO SA,R2157428,Targu Jiu,5,2026.07,Operatori mici
MARIUS GABRIEL TRANSPORT SRL,R12933577,Bucuresti,5,2026.07,Operatori mici
SCHLUMBERGER ROMANIA SRL,R17879754,Bucuresti,5,2026.07,Operatori mici
IMSAT SA,R1571536,Bucuresti,5,2026.07,Operatori mici
CARSMIX NEW TRANS,R39890443,Valea Mare Pravat,5,2026.07,Operatori mici
NEL BUIBAR TRANS,R43240570,Visina,5,2026.07,Operatori mici
CHRIS-TRANS EXPRES S.R.L.,R16342069,Bucuresti,6,2026.07,Operatori mici
MIR TRANSPORT S.R.L.,R16673232,Dobroiesti,6,2026.07,Operatori mici
A.T.B. INTERNATIONAL CARGO SRL,R30971099,HUREZ,6,2026.07,Operatori mici
AGRITUMI SRL,R31942881,BUCU,7,2026.07,Operatori mici
AC LOGISTICS SOLUTIONS SRL,R47809424,Bascov,7,2026.07,Operatori mici
BEK TRANS SRL,R20631480,Catalina,7,2026.07,Operatori mici
FRATII V&D SRL,R17882946,Moieciu de Jos,7,2026.07,Operatori mici
CHISTOLTRANS SRL,R36123799,Lipovat,8,2026.07,Operatori mici
IGEXPRESS TRANS S.R.L.,R32225095,Holboca,8,2026.07,Operatori mici
DIANA TRUCK & TRAVEL SRL,R28226734,Tg-Mures,8,2026.07,Operatori mici
ALEXIA EXPRESS LOGISTIK SRL,R31401541,Bertea,9,2026.07,Operatori mici
BLITZ-TRANS SRL,R21680139,Vaslui,9,2026.07,Operatori mici
TEO TRUCK LOGISTIC SRL,R50214663,Iasi,10,2026.07,Operatori medii 1
GHETEO DRIVING SRL,R45003538,Arad,10,2026.07,Operatori medii 1
TERMOTRANS SRL,R10083704,Brasov,4,2026.07,Operatori mici
ELIBOL NAKLIYAT S.R.L.,R44057246,Bragadiru,4,2026.07,Operatori mici
MIHALEX TRANSPORT LTD SRL,R44881891,Draganesti Vlasca,4,2026.07,Operatori mici
IRIS TRANSLINE,R46286548,Zvoristea,4,2026.07,Operatori mici
FONTEGAS ROCCADA SPIDE ITALIA SRL,R11162962,Simian,4,2026.07,Operatori mici
ATY LUD TRANS SRL,R28555281,Pascani,4,2026.07,Operatori mici
EOL TRANS COM SRL,R16372086,Bucuresti,4,2026.07,Operatori mici
MATEI TRANS INTERNATIONAL,R29473570,Bucuresti,4,2026.07,Operatori mici
AXIAL TRANSPORT SRL,R10969582,Milisauti,4,2026.07,Operatori mici
MIDIAL CEBO TRANS SRL,R42301998,Rediu,4,2026.07,Operatori mici
SANCAT TRANS,R16048862,Prejmer,5,2026.07,Operatori mici
SC RUTDAN TRANS SRL,R33974936,Novaci,5,2026.07,Operatori mici
ASV PREMIER TRANSPORT SRL,R28382180,Buftea,6,2026.07,Operatori mici
LAVINYA LOGISTIC SRL,R46066186,Roman,6,2026.07,Operatori mici
DINU TIT SRL,R33944498,PICIOR DE MUNTE,6,2026.07,Operatori mici
PROD COM LUCA S.R.L.,R5776011,Halmeu,7,2026.07,Operatori mici
GASFIVAL,R18191698,Targu Jiu,12,2026.07,Operatori medii 1
SMART DEALS TRANSPORT SRL,R34233493,Iasi,10,2026.07,Operatori medii 1
DORIMA SRL,R18359687,Jebel,7,2026.07,Operatori mici
GUNEY EYLUL TRANS SRL,R32608376,Bragadiru,5,2026.07,Operatori mici
DOM-MEL 95 LOGISZTIKA SRL,R7444159,Joseni,5,2026.07,Operatori mici
RONIM SRL,R4078401,Codlea,5,2026.07,Operatori mici
EVION-NIRONES SRL,R43831895,Sfantu Gheorghe,5,2026.07,Operatori mici
DRAGOS METAL TRANS SRL,R26680610,com.Gheraseni jud .Bacau,5,2026.07,Operatori mici
MALEX SRL,R1112835,Brasov,6,2026.07,Operatori mici
N.C TRANS-COMPANY SRL,R22345191,Iasi,6,2026.07,Operatori mici
VIK LOGISTIC COMPANY SRL,R28036322,Iasi,6,2026.07,Operatori mici
BUTAN GAS ROMANIA S.A.,R8297854,Bucuresti,6,2026.07,Operatori mici
CETINAY LOGISTIC SRL,R48111615,Voluntari,7,2026.07,Operatori mici
MARKLINE TRUCK SRL,R46404996,Iasi,7,2026.07,Operatori mici
CATA AGROTOP SPEDITION SRL,R35673166,Buzoesti,7,2026.07,Operatori mici
VIOVAL TRANS SRL,R18961061,Breaza,8,2026.07,Operatori mici
MARRY POP TRUCKS SPEDITION SRL,R46389969,Iasi,8,2026.07,Operatori mici
MONDUNIVER SERVICII SRL,R24652397,Iasi,8,2026.07,Operatori mici
TCR EXPRESS LOGISTICS SRL,R48920420,Bragadiru,8,2026.07,Operatori mici
DSD BLUE TRANS SRL,R37409986,Bucuresti sector2,8,2026.07,Operatori mici
LUCASOF LKW SPEED,R38809794,Greci,8,2026.07,Operatori mici
GEO-AUTO-CONS SRL,R22651441,Costesti,9,2026.07,Operatori mici
NBC TRANSPORT LOGISTIC DRIVE,R38538377,Pitesti,10,2026.07,Operatori medii 1
MINITRANS SRL,R16601082,Dobrotesti,12,2026.07,Operatori medii 1
GEO TRANS SRL,R14847782,Rosiori de Vede,12,2026.07,Operatori medii 1
LUXTEN LIGTHING COMPANY,R6734030,Timisoara,5,2026.07,Operatori mici
TAGA NORD TRANS SRL,R26763421,Brasov,5,2026.07,Operatori mici
TRANSRAPID SRL,R18673514,Vama,6,2026.07,Operatori mici
2 A FASONARE OTEL SRL,R40341171,Bascov,6,2026.07,Operatori mici
PARMAROM IMPORT-EXPORT SRL,R5052434,Bucuresti,7,2026.07,Operatori mici
VAGO TRANS SERV SRL,R8490943,Novaci,9,2026.07,Operatori mici
HKL LOGISTIK SPEDITIE SRL,R48681225,Buftea,11,2026.07,Operatori medii 1
POLLYNORDTRANS SRL,R43973741,Vaslui,12,2026.07,Operatori medii 1
BB CIV FORCE CONSTRUCT SRL,R27804481,Copaceni,11,2026.07,Operatori medii 1
SIM AUTO SPEDITION S.R.L.,R30962228,Constanta,12,2026.07,Operatori medii 1
AUTO MIF SPEDITION SRL,R37003553,Pitesti,9,2026.07,Operatori mici
WEATHERFORD ATLAS GIP SA,R1360687,Ploiesti,6,2026.07,Operatori mici
FERABIT TRANS S.R.L.,R27841633,Popricani,6,2026.07,Operatori mici
IMPRODEX AUTOTRANSPORT 3M SRL,R445718,Bucuresti,6,2026.07,Operatori mici
COSTI TRANS S.R.L.,R15495315,Bucuresti,6,2026.07,Operatori mici
ALETRANS S.R.L.,R3583561,Brasov,7,2026.07,Operatori mici
GAITAN TRANS SRL,R13516160,Bradet,7,2026.07,Operatori mici
NEMET INTERNATIONAL TRANSPORT COMPANY SRL,R5314640,Brasov,8,2026.07,Operatori mici
PETHOLB TRANS SRL,R33520310,Braila,8,2026.07,Operatori mici
KAROM INT TRANSPORT IMPORT EXPORT TRADE SRL,R10546914,Bucuresti,10,2026.07,Operatori medii 1
JUST INTERNATIONAL LOGISTICS SRL,R38907202,Bucuresti,10,2026.07,Operatori medii 1
ROBERTO TOUR SRL,R22716435,Pitesti,12,2026.07,Operatori medii 1
ALUCIUS SPEED LOGISTIC SRL,R35940611,Bascov,12,2026.07,Operatori medii 1
GLOBEX ZAFER TRANS SRL,R27667074,Arad,12,2026.07,Operatori medii 1
CBY SPEEDTRANS S.R.L.,R38373716,Bucov,12,2026.07,Operatori medii 1
DEN & EDY TRANS SRL,R19228850,Pogoanele,6,2026.07,Operatori mici
SZG CARGO TRANS SRL,R41320630,Bucuresti Sector 2,6,2026.07,Operatori mici
ASTRA ROM,R1316711,Aricestii Rahtivani,8,2026.07,Operatori mici
AMI TURING SRL,R16314867,Iasi,9,2026.07,Operatori mici
DON INTERNATIONAL IMPEX S.R.L.,R3648962,Ploiesti,10,2026.07,Operatori medii 1
SEVY TRUCK SERVICE SRL,R42672244,Ramnicu Valcea,9,2026.07,Operatori mici
MXG UNLIMITED WAY,R50335223,Poiana Lacului,9,2026.07,Operatori mici
MANOIL TRANS S.R.L.,R14304182,Targu Secuiesc,10,2026.07,Operatori medii 1
RIGASI TRANS SRL,R13649523,Braila,10,2026.07,Operatori medii 1
SUD EXPRES SRL,R18607197,Buzau,11,2026.07,Operatori medii 1
CLAMAD TRANS 2005 SRL,R17441010,Costesti,11,2026.07,Operatori medii 1
BASA TRANS GRUP&RO SRL,R27068474,Gorban,11,2026.07,Operatori medii 1
KITT COM SRL,R8639698,Bucuresti,12,2026.07,Operatori medii 1
TDE TANDEM MD SRL,R22282204,Iasi,12,2026.07,Operatori medii 1
SIMON TRUCKS SRL,R37850078,1 Decembrie,7,2026.07,Operatori mici
CRIVAL TRANS SMART,R46933520,Pitesti,7,2026.07,Operatori mici
RAZVAN TUR COMPANY SRL,R14362728,Letcani,11,2026.07,Operatori medii 1
TACROM SERVICES S.R.L.,R18893617,Ploiesti,12,2026.07,Operatori medii 1
TORO IMPEX SRL,R538310,Lemnia,8,2026.07,Operatori mici
ROMOTO SRL,R52480874,Ulmi,8,2026.07,Operatori mici
T.E.H. 2001 SERVICE SRL,R13940629,Bucuresti,9,2026.07,Operatori mici
ENERGOMONTAJ SA,R1555468,Timisoara,10,2026.07,Operatori medii 1
HALLIBURTON ENERGY SERVICES ROMANIA SRL,R11004954,Bucuresti,9,2026.07,Operatori mici
DIROM INTERTRANS SRL,R30809578,Alba Iulia,9,2026.07,Operatori mici
BITUM STORAGE SRL,R44301358,ILFOV,9,2026.07,Operatori mici
TRANSVERY SRL,R16895948,Sacele,10,2026.07,Operatori medii 1
MAR TERRA INTERTRANS SRL,R26704140,Bucuresti,1,2026.07,Operatori mici
SEMO TRANS EXPEDITION SRL,R48651127,Bucuresti,1,2026.07,Operatori mici
POPROADTRANS SRL,R38816910,Rosiori de Vede,1,2026.07,Operatori mici
GRADINARU EXPRESS LOGISTIC SRL,R47286317,Orlesti,1,2026.07,Operatori mici
DUMINIC CARGO SRL,R39789199,Voineasa,1,2026.07,Operatori mici
FAIR PLAY SRL,R2548086,Berbesti,1,2026.07,Operatori mici
MARCHIDAN TRANS SRL,R15822948,Ramnicu Valcea,1,2026.07,Operatori mici
EVAFLOR TRANS SRL,R42885358,Ramnicu Valcea,1,2026.07,Operatori mici
DUAL COMPANI SRL,R12819786,Ramnicu Valcea,1,2026.07,Operatori mici
NURVIL SRL,R8517267,Ramnicu Valcea,1,2026.07,Operatori mici
CAMINAS SRL,R3239372,Ramnicu Valcea,1,2026.07,Operatori mici
DRON MOLD TRANS SRL,R39402240,Vaslui,1,2026.07,Operatori mici
CALINA EUROTRANS SRL,R21522546,Vaslui,1,2026.07,Operatori mici
EXPRESSVAB 43 SRL,R44349623,Vaslui,1,2026.07,Operatori mici
VIVALEX MAGNA GRUP SRL,R41342213,Vaslui,1,2026.07,Operatori mici
ANVIGRUP-SIGMA TRANS SRL,R37887140,Vaslui,1,2026.07,Operatori mici
LUDERVAN TRANS SRL,R36988600,Vaslui,1,2026.07,Operatori mici
EUTERPE CRISTIAN TRANS SRL,R33273929,Corni Albesti,1,2026.07,Operatori mici
CATALEXVAD TRANS,R45819928,Lipovat,1,2026.07,Operatori mici
EUROTRANSDORU SRL,R39772278,Puiesti,1,2026.07,Operatori mici
PETAL S.A,R841186,Husi,1,2026.07,Operatori mici
MARI-LAUR-TRANS SRL,R25501643,Ivesti,1,2026.07,Operatori mici
DERZEL CONSTRUCT SRL,R29598299,Golesti,1,2026.07,Operatori mici
PETRELI TEAM SMART SRL,R37572184,Poiana Lacului,1,2026.07,Operatori mici
GEODENY TRANS SPEED SRL,R41876041,Onesti,1,2026.07,Operatori mici
RODSPECTRA SRL,R15751898,Pecica,1,2026.07,Operatori mici
AYLIN,R16220550,Popesti Leordeni,1,2026.07,Operatori mici
DANI & REKA SPEED S.R.L.,R29150863,Izvoru Crisului,1,2026.07,Operatori mici
BENZ M&D SRL,R17010157,Toplita,1,2026.07,Operatori mici
IORGA TRANS SRL,R6229101,Joita,1,2026.07,Operatori mici
DARY TRANSPORT GLOBAL,R39411443,Joita,1,2026.07,Operatori mici
CARTRUCK LOGISTIC,R36653620,Joita,1,2026.07,Operatori mici
DANUT INTERNATIONAL TRANS SRL,R42909490,Pancota,1,2026.07,Operatori mici
ADVANTAGE EXPRESS SRL,R38509371,Popesti Leordeni,1,2026.07,Operatori mici
IVET COM SRL,R7190727,Huedin,1,2026.07,Operatori mici
PRODPORCOM SRL,R6107724,Targu Secuiesc,1,2026.07,Operatori mici
RADYX PROD CO S.R.L.,R10132521,Moisei,1,2026.07,Operatori mici
ERMANOS NICVAN SRL,R31698206,Poienile de Sub Munte,1,2026.07,Operatori mici
HAAR DACU SRL,R45947471,Sebes,1,2026.07,Operatori mici
BLUTMAR SRL,R27093281,Sarasau,1,2026.07,Operatori mici
ADSTAR IMPEX SRL,R16480908,Seini,1,2026.07,Operatori mici
LICHTDAWN,R45242250,Petrosani,1,2026.07,Operatori mici
CONSULTING GLOBAL EXPERT SRL,R24879307,Viseu de Sus,1,2026.07,Operatori mici
AGROGRANA,R30364267,Socodor,1,2026.07,Operatori mici
RIZ TRANSPORT SRL,R24342531,Tinca,1,2026.07,Operatori mici
VASMONELY S.R.L.,R22295980,Teisani,1,2026.07,Operatori mici
ELYFLOR TRANS S.R.L,R40185650,Podu Turcului,1,2026.07,Operatori mici
LA MARINARU SRL,R163105,Topoloveni,1,2026.07,Operatori mici
SRKN LOGISTIK SRL,R47885405,Tileagd,1,2026.07,Operatori mici
SAMNER SRL,R30640915,Ovidiu,1,2026.07,Operatori mici
OSMAN CARGO SRL,R45646819,Ovidiu,1,2026.07,Operatori mici
CLAUTRANS SRL,R17907552,Tecuci,1,2026.07,Operatori mici
DUAL EXPEDITII IMPEX SRL,R19166706,Suseni,1,2026.07,Operatori mici
TOMILD SRL,R21607863,Suplacu de Barcau,1,2026.07,Operatori mici
ALEX ARIANA EUROTRANS SRL,R29490865,Stefanesti,1,2026.07,Operatori mici
GES CARGO TRANS,R45329772,Pascani,1,2026.07,Operatori mici
INTER TUDOR LINE SRL,R46033359,Satu Mare,1,2026.07,Operatori mici
BOGDAN SI OVIDIU TRANSPORT SRL,R46189146,Tulucesti,1,2026.07,Operatori mici
MINI CENTRUM SRL,R4076133,Lunca de Sus,1,2026.07,Operatori mici
GOLD IMPERIAL SRL,R18634566,Vanatori,1,2026.07,Operatori mici
LIVIUMIR TRANS,R11097120,Volovat,1,2026.07,Operatori mici
KNEHO ROM SRL,R13026819,Urziceni,1,2026.07,Operatori mici
DARIUS RAPID TRANS,R41552592,Uliesti,1,2026.07,Operatori mici
PALI & CIMPIAN TRANS SRL-D,R40250847,Vadu Crisului,1,2026.07,Operatori mici
TRANS VIOMAT SRL,R14546828,Veresti,1,2026.07,Operatori mici
SAVLEX SPEDITION SRL,R26032740,Podari,1,2026.07,Operatori mici
DAZ INFO CONSULTING,R18601534,Bucuresti,1,2026.07,Operatori mici
LAUCOR CARGO SRL,R35317347,Calafindesti,1,2026.07,Operatori mici
CHRIS FYLY CARGO SRL,R18651583,Dornesti,1,2026.07,Operatori mici
GRITIN TRUCK SRL,R38574400,Costisa,1,2026.07,Operatori mici
EXPRESS FANY BUCOVINA S.R.L.,R40641608,Fratautii Noi,1,2026.07,Operatori mici
NICOM IMPEX SRL,R764393,Fratautii Vechi,1,2026.07,Operatori mici
LICA S.R.L.,R669014,Prilog,1,2026.07,Operatori mici
BAIDAN TRANS SRL,R16665930,Baia,1,2026.07,Operatori mici
OCTAV IMPEX,R6782968,Satu Mare,1,2026.07,Operatori mici
LUMER TRUCK TRANS S.R.L,R35682300,Satu Mare,1,2026.07,Operatori mici
MUSTANG TRACO SRL,R5889266,Bucuresti,1,2026.07,Operatori mici
ARDIMARLACRI S.R.L.,R19110624,Badeuti,1,2026.07,Operatori mici
COMPLEX SERVICE SRL,R6532040,Carei,1,2026.07,Operatori mici
DANIVIA DEMITRANS SRL.D,R37327495,Zalau,1,2026.07,Operatori mici
MIXT TRANS SRL,R18555977,Botiz,1,2026.07,Operatori mici
TRANS EST VEST SRL,R10250560,Sibiu,1,2026.07,Operatori mici
VELDTRANS,R14315556,Timisoara,1,2026.07,Operatori mici
SM RECOSEMTRACT SRL,R6553280,Timisoara,1,2026.07,Operatori mici
LAVEE  SRL,R24788810,Brezoi,1,2026.07,Operatori mici
TRANS PLUS,R13378645,Timisoara,1,2026.07,Operatori mici
TRANS SAVINI,R9649290,Timisoara,1,2026.07,Operatori mici
CUREA COMPANY S.R.L.,R17051637,Gataia,1,2026.07,Operatori mici
CORIAN EXPEDITION SRL,R27639627,Carani,1,2026.07,Operatori mici
CO2 & DISCOUNT SRL,R24351335,Timisoara,1,2026.07,Operatori mici
VECHE,R6383568,Lugoj,1,2026.07,Operatori mici
ABENI TRANS,R23605915,Suceava,1,2026.07,Operatori mici
INTERTRANS VALI SRL,R22178700,Suceava,1,2026.07,Operatori mici
DAMIANASPEED.SRL,R41474877,Suceava,1,2026.07,Operatori mici
PURA TRANS S.R.L.,R16181183,Suceava,1,2026.07,Operatori mici
RENMARSPEED SRL,R43027212,Suceava,1,2026.07,Operatori mici
FLORIAN BEST S.R.L.,R32609886,Suceava,1,2026.07,Operatori mici
COSMI DMS TRANS SPEDITION SRL,R34701713,Suceava,1,2026.07,Operatori mici
TONIC TRANS,R3778547,Suceava,1,2026.07,Operatori mici
MUSTRANS SRL,R35170270,Suceava,1,2026.07,Operatori mici
DAMOS SRL,R11984742,Suceava,1,2026.07,Operatori mici
DELCLAS TRANS SRL,R22236534,Suceava,1,2026.07,Operatori mici
DUMI ALEXCOM SRL,R723644,Suceava,1,2026.07,Operatori mici
DANY-MUR SRL,R25685198,Suceava,1,2026.07,Operatori mici
HVE TRANS,R6630587,Suceava,1,2026.07,Operatori mici
AXIAL CARGO LINE S.R.L.,R17996070,Milisauti,1,2026.07,Operatori mici
ROTMANEXPRES SPEDITION SRL,R39707660,Milisauti,1,2026.07,Operatori mici
TRANSDANIADA SRL,R21302540,Gura Humorului,1,2026.07,Operatori mici
HOLZ SPEDITION SRL,R29769240,Gura Humorului,1,2026.07,Operatori mici
ASTRAHAN PIEL S.R.L.,R5099755,Ipotesti,1,2026.07,Operatori mici
SANDMADORA SRL,R21913919,Oradea,1,2026.07,Operatori mici
ROVIGO SRL,R18247420,Oradea,1,2026.07,Operatori mici
MERIDIAN CARGO,R17700823,Oradea,1,2026.07,Operatori mici
DANLASCDOR SRL,R17900775,Oradea,1,2026.07,Operatori mici
DALASIA SRL,R24508449,Oradea,1,2026.07,Operatori mici
RAUL SYSTEM,R18471078,Radauti,1,2026.07,Operatori mici
SILVER LOGISTIC SRL,R35436887,Oradea,1,2026.07,Operatori mici
MANOLO TRAFIC SRL,R33895751,Oradea,1,2026.07,Operatori mici
AUTO AXINTE MOTORS SRL,R18783088,Patrauti,1,2026.07,Operatori mici
GUBIBOR SPEDITION SRL,R29366353,Oradea,1,2026.07,Operatori mici
LION PROD COM,R739918,Radauti,1,2026.07,Operatori mici
FRUIT XL INTERNATIONAL SRL,R41437976,Scheia,1,2026.07,Operatori mici
CRS NORD LINE,R37950859,Scheia,1,2026.07,Operatori mici
FILI LOGISTIC SRL,R34008645,Siret,1,2026.07,Operatori mici
ALIN&ALIN SRL,R28423043,Siret,1,2026.07,Operatori mici
SERETH GROUP SRL,R27000517,Siret,1,2026.07,Operatori mici
NIROS TRANS SRL,R22847350,Siret,1,2026.07,Operatori mici
VALENTIN-CODRIN S.R.L.,R24963911,Siret,1,2026.07,Operatori mici
ANDY TRANSCOM SRL,R16481733,Stamate,1,2026.07,Operatori mici
DENEDY LOGISTIC SRL,R34781593,Alba Iulia,1,2026.07,Operatori mici
VIKING TRUCKING SRL,R27396986,Alba Iulia,1,2026.07,Operatori mici
CRISTAL BLANCH RO SRL,R35262438,Cateasca,1,2026.07,Operatori mici
NEW EXCLUSIV TRUCK SRL,R31777890,Boteni,1,2026.07,Operatori mici
NADAN TRANS LOGISTIC SRL,R40184387,Bradu,1,2026.07,Operatori mici
SADYGOM TRANS SRL,R43771670,Pitesti,1,2026.07,Operatori mici
COSTI ROYAL LOGISTIC SRL,R39340563,Negrasi,1,2026.07,Operatori mici
M&C FAST SPEDITION,R41869710,Mioveni,1,2026.07,Operatori mici
AS-SRG SPEED LOGISTIC,R42368572,Pitesti,1,2026.07,Operatori mici
NICOMAR EUROLAND,R27404825,Pitesti,1,2026.07,Operatori mici
RO-CRIS DIVERS SRL,R15154148,Pitesti,1,2026.07,Operatori mici
ESSE.EMIGABRI SRL,R31949634,Bacau,1,2026.07,Operatori mici
RAZA VIOLET SRL,R25463795,Bacau,1,2026.07,Operatori mici
ABY ALEX TOP TRANSPORT SRL,R43659782,1 Decembrie,1,2026.07,Operatori mici
CARGOTRIF TRUCK SRL,R28170307,Arad,1,2026.07,Operatori mici
ADIMIR LOGISTIC,R36970017,Arad,1,2026.07,Operatori mici
AXON SPEDITION,R13262143,Alesd,1,2026.07,Operatori mici
ROWO SPEDITION SRL,R30540460,Arad,1,2026.07,Operatori mici
ERDAL 42 LOGISTIK TRANS SRL,R43855053,Arad,1,2026.07,Operatori mici
SPEED ROAD AUTHORITY SRL,R31184310,Arad,1,2026.07,Operatori mici
IZOLTA,R3369496,Arad,1,2026.07,Operatori mici
PANONIA,R1675170,Arad,1,2026.07,Operatori mici
LARIFARM SRL,R10437739,Arad,1,2026.07,Operatori mici
MIHA TRANS,R6648282,Arad,1,2026.07,Operatori mici
LAVI SI DEX AGL SRL,R30674543,Crevedia,1,2026.07,Operatori mici
QUIK FRESH  IMPEX SRL,R857077,Gaesti,1,2026.07,Operatori mici
MIRUNA SPEED SRL,R45911842,Matasaru,1,2026.07,Operatori mici
RO-SARAH TRANS SRL,R31589284,Poiana,1,2026.07,Operatori mici
BAN & TOUR IMPEX SRL,R6720671,Potlogi,1,2026.07,Operatori mici
FIORELINA SRL,R939878,Pucioasa,1,2026.07,Operatori mici
EDATRANSNET SRL,R41903774,Bratovoesti,1,2026.07,Operatori mici
VEMEGA SRL,R14521858,Calafat,1,2026.07,Operatori mici
GREMI TRANS SRL,R16450800,Razvad,1,2026.07,Operatori mici
POP-ANDI TRANS SRL,R16004173,Targoviste,1,2026.07,Operatori mici
ALIN LOGISTIC & SPEDITION SRL,R30397310,Calarasi,1,2026.07,Operatori mici
JULIANNE PRODEXIM,R6655859,Dej,1,2026.07,Operatori mici
PRODAGRO FARM SRL,R12563008,Moldova Noua,1,2026.07,Operatori mici
LOBO MIDAS TRANSPORT SRL,R43828822,Constanta,1,2026.07,Operatori mici
MARTON FRUCT SRL,R32002808,Constanta,1,2026.07,Operatori mici
TRANSMAT SRL,R12084722,Cluj Napoca,1,2026.07,Operatori mici
TEFIR IMPORT EXPORT SRL,R6053063,Campia Turzii,1,2026.07,Operatori mici
COMAT TRADING SA,R6199361,Bistrita,1,2026.07,Operatori mici
FLORION SERVICE SRL,R107245,Bors,1,2026.07,Operatori mici
CRISMIMI TRANS SRL,R17792711,Bratca,1,2026.07,Operatori mici
KIPEROWIL SRL,R28493308,Girisu de Cris,1,2026.07,Operatori mici
B.P.L. PATRYK TRANS SRL,R30096113,Girisu de Cris,1,2026.07,Operatori mici
DRAGNEA BUSINESS SRL,R35349667,Sirna,1,2026.07,Operatori mici
COSDAN  SPEDITION SRL,R47404307,Drajna,1,2026.07,Operatori mici
MIHALITRANS SRL,R17757595,Slatina,1,2026.07,Operatori mici
CARGOGIL LOGISTIC SRL,R43919424,Ploiesti,1,2026.07,Operatori mici
NIPON EXPRES SRL,R12656310,Poiana Sibiului,1,2026.07,Operatori mici
RICHMONT ATV SRL,R22213387,Azuga,1,2026.07,Operatori mici
RAMSI SPEED LOGISTIC SRL,R41911424,Aricestii Rahtivani,1,2026.07,Operatori mici
ALTIMUS SRL,R29618418,Izvoare,1,2026.07,Operatori mici
PATRU PLUS TRANS S.R.L.,R6108568,Piatra Neamt,1,2026.07,Operatori mici
KOD IMPEX SRL,R7574566,Piatra Neamt,1,2026.07,Operatori mici
TRANSPAULINA SRL,R6427621,Piatra Neamt,1,2026.07,Operatori mici
IRISTRANS SRL,R21872126,Piatra Neamt,1,2026.07,Operatori mici
CORFA ANDRA S.R.L.,R2041694,Piatra Neamt,1,2026.07,Operatori mici
COLIMP SRL,R4678023,Targu Mures,1,2026.07,Operatori mici
SERVSILV TRANS SRL,R5283960,Targu Mures,1,2026.07,Operatori mici
INTERNATIONAL TRANSPORT AUTO SA,R1221719,Targu Mures,1,2026.07,Operatori mici
ALIDANI PRODCOM SRL,R1215857,Targu Mures,1,2026.07,Operatori mici
RAC DANI-DOR SRL,R29069700,Leordina,1,2026.07,Operatori mici
VBH ROMCOM SRL,R9719787,Targu Mures,1,2026.07,Operatori mici
IRODOI AUTOTRANSPORT SRL,R41245504,Iasi,1,2026.07,Operatori mici
