Denumire Operator,Cod Fiscal,Localitate,Nr.Vehicule,Export data,Clase Transportator
AUTOMOTIVE CREATIONS SRL,R25823177,Fagaras,1,2026.07,Operatori mici
STEFAN GENERAL TRANS SRL,R14365066,Minzalesti,1,2026.07,Operatori mici
VASI GAS COM SRL,R28765267,Oltenita,1,2026.07,Operatori mici
ALMER TRANS SRL,R15746603,Constanta,1,2026.07,Operatori mici
AXA RAPID TRANS SRL,R51357530,Corbii Mari,1,2026.07,Operatori mici
EGEHAN LOGISTIC SRL,R30679419,Gaesti,1,2026.07,Operatori mici
MIVA EXPRES DUMY SRL,R28996385,Manesti,1,2026.07,Operatori mici
VASTANIK EXPRES S.R.L.,R29141075,Gorban,1,2026.07,Operatori mici
TEOTRANSCDV SRL,R48430673,Valea Lupului,1,2026.07,Operatori mici
MARCOTRAN BMD,R38965424,Zvoristea,1,2026.07,Operatori mici
ORZAN TRANS,R16340416,Zarnesti,1,2026.07,Operatori mici
PETRE INTERLOGISTIC SRL,R42380304,Valenii de Munte,1,2026.07,Operatori mici
CEAGCOSMO TRANS SRL,R39104082,Visina,1,2026.07,Operatori mici
M. N. M EXPEDITII TRANS SRL,R47024685,Visina,1,2026.07,Operatori mici
COVRIG AGRO TRANS SRL,R46453603,Visina,1,2026.07,Operatori mici
ACN NED SPEDITION,R51102609,Visina,1,2026.07,Operatori mici
VIMACON TRANS RO SRL,R28259685,Valea Adinca,1,2026.07,Operatori mici
REBENSPASI SRL,R37474879,Vama,1,2026.07,Operatori mici
N&M TRANSPORT MIH SRL,R17042019,Rucar,1,2026.07,Operatori mici
DENI TRANS SRL,R23970430,Todiresti,1,2026.07,Operatori mici
AXI GABI COM SRL,R30136846,Pascani,1,2026.07,Operatori mici
CLAUDEL TRANS S.R.L.,R28054035,Tecuci,1,2026.07,Operatori mici
CELEBI ENERGY TECH SRL,R50500460,Tileagd,1,2026.07,Operatori mici
AUTO ROLLA SERVICE SRL,R6622754,Vadu Pasii,1,2026.07,Operatori mici
BIT RUT DALRO SRL,R41332635,Viseu de Sus,1,2026.07,Operatori mici
DAILY TRANSPORT GEORGE SRL,R37195556,Halchiu,1,2026.07,Operatori mici
CARVIMIR TRANS SRL,R32385983,Vaslui,1,2026.07,Operatori mici
LU NI LU TRANSPORT EXPEDITII SRL,R38962282,Turnu Magurele,1,2026.07,Operatori mici
GLOBAL MC NUTT SERVICES SRL,R29462938,Sighetul Marmatiei,1,2026.07,Operatori mici
ASTORIA TRADING SRL,R17134589,Toplita,1,2026.07,Operatori mici
MINCO ROMANIA SRL,R14100204,Rosiori de Vede,1,2026.07,Operatori mici
TEHNO TRANS SRL,R17599720,Rosiori de Vede,1,2026.07,Operatori mici
TELECHE TRANS SRL,R39489981,Otesani,1,2026.07,Operatori mici
STANITRANS SRL,R18188722,Mateesti,1,2026.07,Operatori mici
PANDA LOGISTIC SRL,R47679308,Ramnicu Valcea,1,2026.07,Operatori mici
GAST AUTO SERV SRL,R13196970,Tatarani,1,2026.07,Operatori mici
VALENTINA TRANS IDEAL,R51231590,Bucuresti,1,2026.07,Operatori mici
UMUT TRANS SPEDITION,R31629451,Bucuresti,1,2026.07,Operatori mici
SORIN TRANSPORT,R9587147,Bucuresti,1,2026.07,Operatori mici
SONYA TRANSLOGISTIC SRL,R50305435,Bucuresti,1,2026.07,Operatori mici
ALTDEX LOGISTIC S.R.L,R52908149,Bucuresti,1,2026.07,Operatori mici
REIS GLOBAL  TRANSPORT SRL,R54200300,Bucuresti,1,2026.07,Operatori mici
NEC TRANSPORT INTERNATIONAL LOGISTIC SRL,R32637061,Bucuresti,1,2026.07,Operatori mici
DANYS PRODUCT SRL,R17764452,Bucuresti,1,2026.07,Operatori mici
ROMWAY LOGISTICS SRL,R33255507,Bucuresti,1,2026.07,Operatori mici
ALCATRAZ GLOBAL LOGISTICS SRL,R47215529,Bucuresti,1,2026.07,Operatori mici
ATLAS ENGINEERING SERVICES,R44752382,Bucuresti,1,2026.07,Operatori mici
TUNGA TRANSPORT SRL,R47365895,Bucuresti,1,2026.07,Operatori mici
FLORIN & DRAGOS PRES SRL,R45200491,Bucuresti,1,2026.07,Operatori mici
GEMIRO TRANS INTERNATIONAL SRL,R14880711,Bucuresti,1,2026.07,Operatori mici
CARGOMATIC SRL,R14913983,Bucuresti,1,2026.07,Operatori mici
FM TRANSACTIV SRL,R18536274,Bucuresti,1,2026.07,Operatori mici
DINADI SRL,R5144813,Bucuresti,1,2026.07,Operatori mici
MESSER ROMANIA GAZ,R10547308,Bucuresti,1,2026.07,Operatori mici
SIMIRODAVA,R10815770,Badeuti,1,2026.07,Operatori mici
TRANS RODAN SRL,R14943526,Bucuresti,1,2026.07,Operatori mici
BEST INTERTRANS SRL,R6767585,Bucuresti,1,2026.07,Operatori mici
CRIS STYLE IMPEX SRL,R1598841,Bucuresti,1,2026.07,Operatori mici
BOBY TRANS IMPEX SRL,R4610389,Bucuresti,1,2026.07,Operatori mici
GEOTRANSPORT AUTOSERV SRL,R5283030,Bucuresti,1,2026.07,Operatori mici
NOVA IMAR SRL,R18264170,Bucuresti,1,2026.07,Operatori mici
C&I COMSERV S.R.L,R8070826,Bucuresti,1,2026.07,Operatori mici
VENKA TRANSPORT,R2629202,Bucuresti,1,2026.07,Operatori mici
ANDA INTERMED SRL,R16465681,Bucuresti,1,2026.07,Operatori mici
FAST SAM CARGO TRANS,R27898516,Scheia,1,2026.07,Operatori mici
VMS TRANSPORTE SRL,R38502977,Suceava,1,2026.07,Operatori mici
VEX SIM GENERAL SERVICE COMPANY,R3904033,Suceava,1,2026.07,Operatori mici
EUROAXA DYNAMIC SERVIS SRL,R39933250,Suceava,1,2026.07,Operatori mici
CLARA HIT TRANS SRL,R24872651,Remus,1,2026.07,Operatori mici
COSTI TRANS SRL,R24024180,Ciurari-Deal,1,2026.07,Operatori mici
CHINDEA LOGISTIC SRL,R42538553,VINTU DE JOS,1,2026.07,Operatori mici
LUMARAD TRANSPORT S.R.L,R32630543,Sat Antonesti,1,2026.07,Operatori mici
AHG TRADE LOGISTIC SRL,R48084332,VOLUNTARI,1,2026.07,Operatori mici
ANA MAR FAMILY TRANS SRL,R43682122,SECTOR 5,1,2026.07,Operatori mici
SZENDY PROD SRL,R23575199,ORASU NOU,1,2026.07,Operatori mici
ALMISIM TOTAL ONE SRL,R35238871,Com. CUCA,1,2026.07,Operatori mici
LIDER GROUP MOLDOVA SRL,R36209831,Bucure?ti,1,2026.07,Operatori mici
UAB MOLDTRANS SRL,R43439051,RUGINOASA,1,2026.07,Operatori mici
STIRBU CARGO TRANS SRL,R44551443,"Bucuresti, sector 2",1,2026.07,Operatori mici
CRIVAL PARTENER,R39354380,Slobozia,1,2026.07,Operatori mici
ERY FRIGO EXPRES SRL,R31629575,"BUCURETI, SECTOR 4",1,2026.07,Operatori mici
ADY SUPERTRANS LKW EXPRES SRL,R42631660,"BUCURESTI , SECTOR 5",1,2026.07,Operatori mici
CRISTI SERVICE RAIF 2004 SRL,R16194310,Lunca Corbului,1,2026.07,Operatori mici
ZEYNEP TRANS GLOBAL SRL,R46857466,"bucuresti,sector 4",1,2026.07,Operatori mici
